handle,text,date
barackobama,Mayor Washington meant a lot to Michelle and me—just like he did to so many folks in Chicago. We continue to look to his work as inspiration for the legacy we want to leave behind.,2022-04-15T20:30:57.000Z
barackobama,,
barackobama,"On the 75th anniversary of Jackie Robinson Day, we're reminded of his groundbreaking career and legacy that has paved the way for so many who would follow—including me.",2022-04-15T14:04:52.000Z
barackobama,"75 years ago, Jackie Robinson competed in his first MLB game—despite facing vicious treatment and threats. Throughout his life, Jackie used his voice to stand up for racial justice and in the process, changed America for the better.",2022-04-15T14:04:50.000Z
barackobama,"There’s nothing I enjoy more than being with young people. And last week, I had a chance to speak with some of the bright students at Hyde Park Academy taking part in our Futures Series with the @ObamaFoundation.

Here's a look at some of the advice I shared with them:",2022-04-14T16:05:33.000Z
barackobama,"With the release of Our Great National Parks, I thought I'd visit one. I had fun at Great Falls Park with the kids from the @BGCA_Clubs.

I hope you'll spend some time outdoors, too. Join the #WildForAll Challenge with @TheWCS at http://WildForAll.org.",2022-04-13T16:05:10.000Z
barackobama,"Along with @TheWCS, we’re working to encourage folks to not only experience nature, but also take action to protect our environment and wildlife for generations to come. Go to http://WildForAll.org to learn more.",2022-04-13T13:00:28.000Z
barackobama,"Our Great National Parks is out today on @Netflix, and I can't wait for you to watch it. This @HGMedia series takes a look at the legacy of preservation and conservation, as well as the ways we can protect our amazing wildlife and natural landscapes.",2022-04-13T13:00:02.000Z
barackobama,"Disinformation is eroding trust in public institutions and threatening democracies around the world. We're working with our @ObamaFoundation Scholars and leaders to combat these forces, break through barriers, and meet their communities where they are.",2022-04-12T21:31:44.000Z
barackobama,This is what happens when you have an administration that’s committed to progress. I’m grateful for their work and all the people who have been involved in continuing to make the Affordable Care Act everything it can be.,2022-04-11T20:45:57.000Z
barackobama,"Last week, the Biden-Harris administration announced they'd fix a glitch in the regulations that will lower premiums for nearly 1 million people who need it and allow 200,000 more uninsured Americans to get access to health coverage.",2022-04-11T20:45:57.000Z
barackobama,"Gerda Weissmann Klein was an author, a historian, and an inspiration to so many around the world. As a Holocaust survivor, she shared her story to remind us of the power of hope and the extent of our strength. Michelle and I send our love to her family.",2022-04-09T19:00:34.000Z
barackobama,"The students I met yesterday at Hyde Park Academy in Chicago make me hopeful for the future. They’re passionate about making a difference, and I enjoyed hearing their stories and sharing a little advice with them.",2022-04-08T15:32:50.000Z
barackobama,"Congratulations to Judge Ketanji Brown Jackson for her appointment to the Supreme Court. This is a great day for America, and a proud moment in our history.",2022-04-07T20:05:05.000Z
barackobama,No trip to Chicago is complete without a @ChicagoBulls game – and this time I brought along some of the young people who are part of our @MBK_Alliance and @GirlsAlliance.,2022-04-07T16:31:37.000Z
barackobama,"It's going to take all of us to protect our democracy, especially young people. There is no silver bullet, but if we focus on ideas and solutions that will strengthen our democracy, rather than weaken it, we can live up to our ideals and show the world what is possible.",2022-04-07T02:48:16.000Z
barackobama,"It was great catching up with our latest class of @UChicago Obama Foundation Scholars. They’ve been working hard to improve their communities, and I’m looking forward to following their journeys.",2022-04-06T21:16:03.000Z
barackobama,"Always great catching up with @POTUS. Thanks for all you’re doing to help even more Americans get access to quality, affordable health care.",2022-04-06T01:00:30.000Z
barackobama,It’s good to be back at the White House! Tune in as I join the @POTUS and @VP to celebrate the Affordable Care Act and talk about how they're taking action to make it better.,2022-04-05T17:45:22.000Z
barackobama,"Progress often feels slow, and victories are sometimes incomplete. But the ACA shows that if you believe that we can improve people’s lives, and if you’re willing to work through obstacles and continually improve, you can make America better.",2022-04-05T15:00:23.000Z
barackobama,"But the ACA was never perfect, and we always knew we would have to make it better. That’s what @POTUS has done since taking office. Today, he’s going even further – lowering premiums for nearly 1 million people and helping 200,000 more uninsured Americans get access to coverage.",2022-04-05T15:00:23.000Z
barackobama,,
barackobama,"Because so many people made sacrifices and some members of Congress took courageous votes, we got the ACA across the finish line. Now, more than 30 million Americans have health coverage, and 135 million Americans with pre-existing conditions can’t be dropped or denied coverage.",2022-04-05T15:00:22.000Z
barackobama,"Passing the ACA was incredibly difficult. People who had coverage were worried about losing it, the media was skeptical, misinformation was flying around, and Republicans showed no interest in working with us. But Joe, Harry Reid, Nancy Pelosi and I were determined.",2022-04-05T15:00:22.000Z
barackobama,"The Affordable Care Act is an example of why you run for office – not just to occupy a seat, but to make a difference in people’s lives.

Today I’m joining @POTUS and @VP at the White House to celebrate everything the ACA has achieved, and help make it even better.",2022-04-05T15:00:21.000Z
barackobama,"Congratulations to the @KUHoops team on winning the national championship. This team was fun to watch, and they earned their first title since 2008 (which was a pretty good year).",2022-04-05T03:53:08.000Z
barackobama,"Congratulations to the @GamecockWBB team and coach @DawnStaley for winning the national championship. Coach Staley has built a powerhouse, and it’s great to see all their hard work pay off.",2022-04-04T17:00:14.000Z
barackobama,"I heard Betty Reid Soskin is retiring at 100, and want to congratulate her for more than a decade of service as a National Park Ranger.
 
Betty, I hope you realize just how many people appreciate everything you’ve done—myself included.",2022-04-02T16:00:21.000Z
barackobama,"I'm proud of Titus, Ashton, Thaddeus, Jalen, McKinley and Peter for representing @MBK_Alliance at @MarchMadnessMBB.

These talented young men from Chicago are job shadowing folks putting the weekend together to learn about the magic behind the madness.",2022-04-02T00:24:49.000Z
barackobama,"Today @POTUS announced that the U.S. will be welcoming 100,000 refugees fleeing the war in Ukraine.
 
This is the right thing to do.
 
If you're looking for ways to help, join @WelcomeUS and support the refugees who will be arriving here soon:",2022-03-24T20:00:48.000Z
barackobama,"As the first woman to serve as America’s top diplomat, Madeleine Albright was a champion for democratic values. Michelle and I send our thoughts to the Albright family and everyone who knew and served with a truly remarkable woman.",2022-03-23T20:30:46.000Z
barackobama,"The other day, I called up DonnaMarie, Steve, and Amy to hear how the Affordable Care Act changed their lives and thank them for the work they’re doing with @ProtectOurCare to protect it.

I hope you'll watch and share your own story:",2022-03-23T19:45:16.000Z
barackobama,".@POTUS’s American Rescue Plan helped strengthen the Affordable Care Act by lowering costs and encouraging a record 14.5 million people to sign up for coverage in 2022. 

We'll keep working to improve the ACA until every American has access to quality, affordable health coverage.",2022-03-23T16:00:50.000Z
barackobama,"During the pandemic, the Affordable Care Act helped make vaccines and COVID-19 tests available for free, covered emergency hospitalizations, and prevented insurance companies from denying anyone coverage based on a pre-existing condition.",2022-03-23T16:00:50.000Z
barackobama,"12 years ago today, I signed the Affordable Care Act into law. I’ve always believed that health care shouldn’t be a privilege for just a fortunate few, but a right for every American. 

Today, more than 30 million Americans have health coverage thanks to the Affordable Care Act.",2022-03-23T16:00:49.000Z
barackobama,"It’s been a great year for college basketball, and now #MarchMadness is officially back. I’m excited for some of the young men in our @MBK_Alliance to join the action in New Orleans. Here's a look at my picks:",2022-03-16T20:00:27.000Z
barackobama,"And third, a reminder that in the face of brutal repression, there are ordinary Russians that are showing tremendous courage in standing up to a senseless, destructive war.",2022-03-16T19:30:36.000Z
barackobama,"Second, a useful primer on why no-fly zones don’t offer a simple answer to stopping the bloodshed.",2022-03-16T19:30:36.000Z
barackobama,"As we bear witness to the tragedy unfolding in Ukraine, here are three articles worth reading. First, a description of the scale of the Ukrainian refugee crisis, underscoring the need for all of us to support relief efforts.",2022-03-16T19:30:35.000Z
barackobama,"I just tested positive for COVID. I’ve had a scratchy throat for a couple days, but am feeling fine otherwise. Michelle and I are grateful to be vaccinated and boosted, and she has tested negative. 

It’s a reminder to get vaccinated if you haven’t already, even as cases go down.",2022-03-13T19:35:04.000Z
barackobama,The @ObamaFoundation has compiled more stories of people who are going above and beyond to help those in need. I hope you’ll read some of them and find ways to get involved:,2022-03-10T23:17:38.000Z
